"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","returns personalized greeting with number","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","0","handles unicode and emoji characters","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","3","should handle very long name parameter","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","0","returns personalized greeting with valid name","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","0","returns generic greeting when name is undefined","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","0","returns personalized greeting with object (converted to string)","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","20","should return Hello world","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","1","server is running and accessible","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E Server Behavior","",""
"","0","handles special characters without sanitization","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","1","handles very long name without crashing","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","2","should handle percent-encoded special characters","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","2","responds with personalized greeting from x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","2","responds with generic greeting when x-name header is missing","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","61","returns 404 for non-existent route","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","5","handles concurrent requests correctly","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E Server Behavior","",""
"","2","should handle URL-encoded spaces in name","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","3","handles empty x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","0","returns generic greeting when name is NaN","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","2","should handle special characters in x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","1","should handle x-name header with only spaces","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","1","returns correct content-type header for POST","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","2","returns 404 for DELETE method on /hello","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E Server Behavior","",""
"","2","should handle numeric name parameter","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","2","ignores request body and uses only x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","2","handles name with spaces","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","2","returns 404 for unsupported HTTP methods on /hello","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E Server Behavior","",""
"","0","handles newline characters","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","2","should accept POST request without body","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","4","should return personalized greeting with x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","1","should handle very long x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","1","returns personalized greeting with multi-word name","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","1","returns generic greeting when name is 0","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","2","handles special characters in name","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","0","returns personalized greeting with array (converted to string)","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","1","returns personalized greeting with spaces (truthy value)","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","3","returns correct content-type header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","3","responds with personalized greeting when name is provided","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","3","should return generic greeting when x-name header is missing","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","3","should ignore request body and use only header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","2","handles special characters in x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E POST /hello","",""
"","2","should handle accented characters in x-name header","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","9","returns the hello world message","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","0","returns generic greeting when name is false","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","3","should handle unicode characters and emojis","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","2","should return generic greeting when x-name header is empty","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","1","should handle multiple x-name headers (uses first value)","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","POST /hello","",""
"","20","responds with Hello world","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","E2E GET /hello","",""
"","1","returns generic greeting when name is null","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","3","should handle special characters in name","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
"","0","returns generic greeting when name is empty string","","Wed Dec 10 11:08:56 UTC 2025","passed","Wed Dec 10 11:08:56 UTC 2025","","getGreeting","",""
"","3","should return personalized greeting with name parameter","","Wed Dec 10 11:08:57 UTC 2025","passed","Wed Dec 10 11:08:57 UTC 2025","","GET /hello","",""
